Date,Hour,Court,Home,Away,Matchday
2018/7/21,12:40,Sede KDT,TU VIEJA,EDDY,Semifinales ORO
2018/7/21,16:40,Sede KDT,PLAN C,PURA PINTA,Semifinales ORO
2018/7/21,23:59,Sede KDT,A PEDAL,ESTRELLADAS,Quinto ORO
2018/7/21,13:40,Sede KDT,TODO CONO,LADY VAGAS,Quinto ORO
2018/7/21,15:40,Sede KDT,LA HORA JUEZ,VIKINGAS,Semifinales PLATA
2018/7/21,14:40,Sede KDT,BARBA ROJA,MARIO BROSS,Semifinales PLATA
2018/7/21,12:40,Sede KDT,MATRIARCADO,DOS NUEVE UNO,Quinto PLATA
2018/7/21,12:40,Sede KDT,LA TOCO Y ME VOY,REAL BAÑIL,Quinto PLATA
