Date,Hour,Court,Home,Away,Matchday
2018/7/7,23:59,Sede KDT,TU VIEJA,TODO CONO,Cuartos ORO
2018/7/7,12:40,Sede KDT,LADY VAGAS,EDDY,Cuartos ORO
2018/7/7,12:40,Sede KDT,ESTRELLADAS,PURA PINTA,Cuartos ORO
2018/7/7,15:40,Sede KDT,A PEDAL,PLAN C,Cuartos ORO
2018/7/7,14:40,Sede KDT,REAL BAÑIL,MARIO BROSS,Cuartos PLATA
2018/7/7,15:40,Sede KDT,BARBA ROJA,LA TOCO Y ME VOY,Cuartos PLATA
2018/7/7,13:40,Sede KDT,MATRIARCADO,LA HORA JUEZ,Cuartos PLATA
2018/7/7,16:40,Sede KDT,VIKINGAS,DOS NUEVE UNO,Cuartos PLATA
2018/7/7,23:59,Sede KDT,8 REINAS,SANTA MARTA,Fair Play
