Date,Hour,Court,Home,Away,Matchday
2018/7/7,16:40,Sede KDT,LO PIBITO,CP FC,3
2018/7/7,23:59,Sede KDT,MATAMBRE,TALES Y PINTO,3
2018/7/14,23:59,Sede KDT,MATAMBRE,CP FC,4
2018/7/14,23:59,Sede KDT,LO PIBITO,TALES Y PINTO,4
2018/7/21,23:59,Sede KDT,MATAMBRE,LO PIBITO,5
2018/7/21,23:59,Sede KDT,CP FC,TALES Y PINTO,5
2018/7/28,23:59,Sede KDT,LO PIBITO,CP FC,6
2018/7/28,23:59,Sede KDT,MATAMBRE,TALES Y PINTO,6
