Date,Hour,Court,Home,Away,Matchday
2018/7/5,20:55,Sede Palermo,JOSÉ CANCHA,LAS MAGICAS,3
2018/7/5,21:45,Sede Palermo,NESSUN DORMA,VAQUILLONAS,3
2018/7/5,21:45,Sede Palermo,GAMBATE,KENNY FC,3
2018/7/5,20:40,Sede Palermo,SIMALG,EL MATRIARCADO FC,3
2018/7/12,21:55,Sede Palermo,JOSÉ CANCHA,NESSUN DORMA,4
2018/7/12,21:45,Sede Palermo,LAS MAGICAS,GAMBATE,4
2018/7/12,20:55,Sede Palermo,VAQUILLONAS,EL MATRIARCADO FC,4
2018/7/12,21:35,Sede Palermo,SIMALG,KENNY FC,4
