Date,Hour,Court,Home,Away,Matchday
2018/7/5,21:35,Sede Palermo,LAS MUCHACHAS DEL CORONEL,REAL BERTI FC,3
2018/7/5,19:55,Sede Palermo,DEL CAMPO,VISCA BRANCA,3
2018/7/5,21:55,Sede Palermo,NEVER PONY,C.F.S,3
2018/7/5,21:35,Sede Palermo,LA CHAMPETA FC,FECHA LIBRE FC,3
2018/7/12,22:00,Sede Palermo,LAS MUCHACHAS DEL CORONEL,VISCA BRANCA,4
2018/7/12,21:45,Sede Palermo,REAL BERTI FC,NEVER PONY,4
2018/7/12,20:55,Sede Palermo,DEL CAMPO,LA CHAMPETA FC,4
2018/7/12,21:35,Sede Palermo,FECHA LIBRE FC,C.F.S,4
